t,cell_id,lon_idx,lat_idx,agent_speed,agent_ground_speed_expected,agent_ground_speed_w1,agent_ground_speed_w2,heading_deg,wind_speed_1,wind_speed_2,probability_1,probability_2
0.0,51,1,1,50.0,52.61433457142946,52.61433457142946,49.99999999999999,45.0,3.609622154490315,0.0,1.0,0.0
1.0,102,2,2,50.0,54.423227031727215,54.423227031727215,49.99999999999999,45.0,6.019624874758714,0.0,1.0,0.0
2.0,153,3,3,50.0,54.42089006309759,54.42089006309759,49.99999999999999,45.0,6.016550857133463,0.0,1.0,0.0
3.0,204,4,4,50.0,46.157949223207474,46.157949223207474,49.99999999999999,135.0,5.681170553837625,0.0,1.0,0.0
4.0,253,3,5,50.0,46.00608952489995,46.00608952489995,49.99999999999999,135.0,5.9179432272720325,0.0,1.0,0.0
5.0,302,2,6,50.0,46.022079800817345,46.022079800817345,49.99999999999999,135.0,5.892959162367242,0.0,1.0,0.0
6.0,351,1,7,50.0,53.92088391119386,53.92088391119386,49.99999999999999,45.0,5.356596804304131,0.0,1.0,0.0
7.0,402,2,8,50.0,53.50573005600907,53.50573005600907,49.99999999999999,45.0,4.805128428321633,0.0,1.0,0.0
8.0,453,3,9,50.0,46.482217059386066,46.482217059386066,49.99999999999999,135.0,5.179247484110395,0.0,1.0,0.0
9.0,502,2,10,50.0,53.666248183234885,53.666248183234885,49.99999999999999,45.0,5.018739184820337,0.0,1.0,0.0
10.0,553,3,11,50.0,53.74717014837254,53.74717014837254,49.99999999999999,45.0,5.126240689468353,0.0,1.0,0.0
11.0,604,4,12,50.0,54.069539293065574,53.97365409432785,54.23918233698616,45.0,5.426462473882913,5.777238061305756,0.6388888888888888,0.3611111111111111
12.0,655,5,13,50.0,54.46962397863908,54.46962397863908,49.99999999999999,45.0,6.080634880889519,0.0,1.0,0.0
13.0,706,6,14,50.0,54.85727685025755,54.85727685025755,49.99999999999999,45.0,6.58891946822086,0.0,1.0,0.0
14.0,757,7,15,50.0,56.168915972638594,56.168915972638594,49.99999999999999,45.0,8.290360861069537,0.0,1.0,0.0
15.0,808,8,16,50.0,56.93419120762522,56.93419120762522,49.99999999999999,45.0,9.270910261744064,0.0,1.0,0.0
16.0,859,9,17,50.0,56.72098138871827,56.72098138871827,49.99999999999999,45.0,8.99857542067455,0.0,1.0,0.0
17.0,910,10,18,50.0,57.4066141470051,57.4066141470051,49.99999999999999,45.0,9.872079038803385,0.0,1.0,0.0
18.0,961,11,19,50.0,58.55525882336391,58.55525882336391,49.99999999999999,45.0,11.321403927637093,0.0,1.0,0.0
19.0,1012,12,20,50.0,58.8773814248847,58.8773814248847,49.99999999999999,45.0,11.724869558003098,0.0,1.0,0.0
20.0,1063,13,21,50.0,59.79842027912356,59.79842027912356,49.99999999999999,45.0,12.871739100962367,0.0,1.0,0.0
21.0,1114,14,22,50.0,59.695389291380515,59.695389291380515,49.99999999999999,-45.0,12.74392811439854,0.0,1.0,0.0
22.0,1065,15,21,50.0,58.24944439738533,58.24944439738533,49.99999999999999,-45.0,10.93718487925353,0.0,1.0,0.0
23.0,1016,16,20,50.0,57.88262696797393,57.88262696797393,49.99999999999999,-45.0,10.474765726867725,0.0,1.0,0.0
24.0,918,18,18,50.0,56.45797762666195,56.45797762666195,49.99999999999999,-45.0,8.661739872522043,0.0,1.0,0.0
